PTS,AST,REB,FG_PCT,MIN
28,4,16,0.75,42.3
21,5,3,0.278,41.31333333333333
20,1,12,0.45,44.13333333333333
12,4,9,0.308,34.333333333333336
14,8,8,0.4,41.25
16,3,13,0.412,33.60333333333333
11,2,4,0.4,34.0
12,1,8,0.417,31.6
10,1,5,0.444,32.02166666666667
10,1,6,0.286,28.15
4,1,7,0.167,28.663333333333334
5,3,3,0.333,16.811666666666667
7,1,3,0.5,24.283333333333335
3,0,2,0.25,14.166666666666666
6,3,0,0.231,21.703333333333333
4,1,0,1.0,4.733333333333333
0,0,0,0.0,3.0166666666666666
0,0,1,0.0,2.9
0,0,1,0.0,1.0166666666666666
23,4,12,0.421,37.13666666666666
27,6,7,0.733,41.7
25,7,7,0.529,45.416666666666664
20,3,11,0.421,43.65
15,12,3,0.294,42.65
21,2,4,0.727,29.583333333333332
7,2,4,0.4,36.016666666666666
13,7,3,0.429,32.766666666666666
12,3,1,0.714,25.016666666666666
12,0,4,0.667,18.316666666666666
11,1,5,0.417,32.85
11,0,3,0.4,22.6
1,0,1,0.0,14.75
3,0,0,1.0,15.563333333333333
0,0,5,0.0,18.926666666666666
0,1,1,0.0,4.35
2,1,0,0.167,18.65
0,0,0,0.0,0.056666666666666664
32,10,21,0.571,43.733333333333334
34,10,10,0.545,44.583333333333336
22,3,17,0.333,40.86666666666667
28,4,2,0.458,40.35
11,5,10,0.5,33.803333333333335
9,5,3,0.5,29.5
15,1,4,0.875,19.033333333333335
10,3,3,0.444,31.503333333333334
3,5,4,0.143,24.2
5,0,2,0.2,28.60333333333333
9,0,1,0.5,13.933333333333334
7,0,0,0.2,32.06666666666667
6,0,2,0.4,16.0
2,0,7,0.143,21.316666666666666
6,0,3,0.25,28.086666666666666
4,1,0,1.0,17.47
0,1,1,0.0,1.3833333333333333
0,0,1,0.0,1.1666666666666667
0,0,0,0.0,5.966666666666667
0,0,0,0.0,1.5
0,0,0,0.0,0.49666666666666665
0,0,0,0.0,0.49666666666666665
0,0,0,0.0,0.49666666666666665
0,0,0,0.0,0.49666666666666665
0,0,0,0.0,0.49666666666666665
0,0,0,0.0,2.45
41,4,11,0.571,41.88333333333333
21,4,9,0.571,40.016666666666666
18,10,4,0.467,38.81666666666667
21,9,4,0.368,40.35
23,3,0,0.667,31.65
14,6,2,0.4,29.216666666666665
12,2,7,0.714,38.21666666666667
6,1,10,0.222,22.216666666666665
11,0,5,0.444,27.26
6,3,3,0.25,36.11833333333333
6,3,1,1.0,15.408333333333333
3,1,5,0.333,21.433333333333334
9,3,0,0.5,23.633333333333333
10,1,0,0.8,17.368333333333332
5,0,6,0.25,26.39666666666667
9,1,1,1.0,15.9
4,0,0,1.0,7.983333333333333
0,0,1,0.0,6.131666666666667
27,14,10,0.667,40.43833333333333
26,10,6,0.5,44.06666666666667
26,5,13,0.52,39.965
14,1,13,0.313,43.06666666666667
19,5,2,0.5,37.696666666666665
13,7,7,0.429,38.02
18,0,2,0.7,23.395
11,5,5,0.5,25.57
16,1,6,0.7,36.095
10,2,5,0.571,20.75
7,0,3,0.375,36.45
3,0,4,0.143,24.566666666666666
0,3,5,0.0,21.041666666666668
3,1,1,0.167,21.163333333333334
4,0,1,0.667,10.95
0,0,3,0.0,7.488333333333333
0,1,1,0.0,8.183333333333334
0,0,1,0.0,0.5466666666666666
0,0,0,0.0,0.5466666666666666
28,6,7,0.429,43.27166666666667
26,3,10,0.688,44.805
19,5,8,0.348,43.083333333333336
14,4,11,0.385,41.6
12,7,10,0.4,42.721666666666664
18,1,2,0.417,36.266666666666666
8,2,8,0.375,34.266666666666666
7,5,7,0.5,24.3
10,1,1,0.667,20.151666666666667
9,4,2,0.4,35.4
8,1,6,0.8,13.983333333333333
10,4,1,0.4,26.4
8,0,5,0.375,28.0
3,1,1,0.333,16.2
2,0,1,0.5,9.36
3,0,1,1.0,2.216666666666667
2,0,1,0.333,3.933333333333333
0,0,0,0.0,7.083333333333333
0,0,0,0.0,2.216666666666667
0,0,0,0.0,0.495
0,0,0,0.0,0.495
0,0,0,0.0,3.75
31,5,12,0.364,43.93333333333333
24,8,11,0.238,46.666666666666664
21,1,15,0.538,40.55
26,3,10,0.563,38.96666666666667
11,5,13,0.25,45.65
11,6,4,0.4,42.05
21,1,4,0.467,42.25
15,0,4,0.333,41.28333333333333
8,3,2,0.5,18.083333333333332
10,0,7,0.8,17.016666666666666
13,2,1,0.455,20.133333333333333
4,2,7,0.333,31.883333333333333
10,3,1,0.375,25.283333333333335
1,1,3,0.0,22.066666666666666
1,0,0,0.0,2.35
0,0,0,0.0,1.8333333333333333
21,11,8,0.5,40.86666666666667
23,2,3,0.583,29.928333333333335
24,1,3,0.727,37.08833333333333
21,2,2,0.5,36.87166666666667
18,9,4,0.7,27.733333333333334
16,3,8,0.533,31.883333333333333
14,5,5,0.5,33.583333333333336
6,5,11,0.429,29.016666666666666
15,1,2,0.667,36.0
14,0,5,0.417,31.816666666666666
6,1,4,1.0,17.916666666666668
6,0,4,0.25,26.816666666666666
6,0,6,0.429,13.733333333333333
5,1,2,0.4,30.3
2,0,2,0.5,3.3333333333333335
4,0,2,1.0,4.116666666666666
3,1,0,0.2,24.166666666666668
3,0,1,0.25,3.3333333333333335
0,0,0,0.0,3.3333333333333335
0,1,1,0.0,4.545
0,0,0,0.0,3.3333333333333335
0,0,0,0.0,7.916666666666667
0,0,0,0.0,2.3666666666666667
33,7,11,0.636,42.1
29,5,9,0.429,38.81666666666667
16,2,2,0.5,27.366666666666667
17,4,4,0.438,37.31666666666667
14,2,6,0.571,29.216666666666665
12,4,7,0.571,25.116666666666667
11,6,3,0.364,35.13333333333333
16,1,4,0.667,35.233333333333334
5,6,8,0.25,27.733333333333334
17,4,1,0.5,27.866666666666667
9,1,7,0.444,35.93333333333333
10,0,5,0.571,35.11666666666667
6,0,4,0.333,11.766666666666667
7,0,1,0.6,21.783333333333335
2,3,5,0.2,16.55
5,0,3,0.5,12.783333333333333
4,0,0,1.0,1.1
2,1,1,0.2,10.866666666666667
0,0,1,0.0,1.1
0,0,1,0.0,1.1
0,0,0,0.0,1.0166666666666666
0,0,0,0.0,1.1
0,0,0,0.0,1.1
0,0,0,0.0,1.1
0,0,0,0.0,1.6833333333333333
30,13,14,0.458,45.266666666666666
40,9,10,0.6,47.928333333333335
21,1,14,0.4,40.02333333333333
22,5,6,0.643,40.71666666666667
25,5,3,0.556,43.2
15,1,10,0.313,40.95
13,5,2,0.385,38.25666666666667
17,3,2,0.545,40.68333333333333
13,1,4,0.4,39.36666666666667
10,0,7,0.25,41.943333333333335
4,2,2,0.5,14.933333333333334
6,0,2,0.667,20.483333333333334
2,0,1,0.0,10.016666666666667
4,0,1,0.5,9.688333333333333
2,0,0,0.5,6.543333333333333
29,3,2,0.786,35.46666666666667
16,6,8,0.385,31.333333333333332
22,4,2,0.636,23.633333333333333
14,2,10,0.333,33.45
18,4,3,0.636,34.93333333333333
8,8,9,0.25,30.418333333333333
9,2,4,0.333,26.066666666666666
13,2,3,0.8,25.516666666666666
12,5,2,0.625,12.0
12,2,6,0.353,28.016666666666666
7,4,5,0.5,28.05
12,2,3,0.714,28.715
10,1,3,0.333,24.618333333333332
